iter,train_loss,val_loss,lr,step_time_ms,optimizer
0,4.2874,4.2823,0.000010,,adamw
0,4.2653,,0.000010,72618.45,adamw
10,3.1425,,0.000109,558.49,adamw
20,2.7337,,0.000208,565.56,adamw
30,2.6169,,0.000307,587.96,adamw
40,2.5760,,0.000406,605.49,adamw
50,2.5263,,0.000505,621.42,adamw
60,2.5083,,0.000604,615.48,adamw
70,2.4930,,0.000703,599.48,adamw
80,2.4959,,0.000802,584.90,adamw
90,2.4690,,0.000901,578.97,adamw
100,2.4594,,0.001000,566.78,adamw
110,2.4533,,0.001000,564.93,adamw
120,2.4268,,0.001000,566.09,adamw
130,2.4138,,0.000999,566.63,adamw
140,2.4123,,0.000999,566.74,adamw
150,2.4150,,0.000998,567.65,adamw
160,2.3749,,0.000998,565.77,adamw
170,2.3807,,0.000997,580.32,adamw
180,2.3232,,0.000996,588.39,adamw
190,2.2537,,0.000995,586.99,adamw
200,2.2212,,0.000994,585.68,adamw
210,2.1509,,0.000993,586.58,adamw
220,2.1480,,0.000991,585.84,adamw
230,2.0793,,0.000990,585.90,adamw
240,2.0839,,0.000988,570.55,adamw
250,1.9623,2.0719,0.000986,,adamw
250,2.0410,,0.000986,80374.18,adamw
260,1.9770,,0.000984,576.55,adamw
270,1.9759,,0.000982,579.01,adamw
280,1.9794,,0.000980,565.19,adamw
290,1.9198,,0.000978,578.98,adamw
300,1.9080,,0.000976,574.35,adamw
310,1.8660,,0.000973,566.98,adamw
320,1.8540,,0.000971,580.32,adamw
330,1.8157,,0.000968,568.27,adamw
340,1.7862,,0.000965,566.14,adamw
350,1.8264,,0.000962,570.39,adamw
360,1.7687,,0.000959,565.72,adamw
370,1.7403,,0.000956,579.41,adamw
380,1.7286,,0.000953,578.99,adamw
390,1.7282,,0.000949,579.85,adamw
400,1.7647,,0.000946,565.94,adamw
410,1.6971,,0.000942,578.43,adamw
420,1.7161,,0.000938,580.89,adamw
430,1.6899,,0.000935,569.45,adamw
440,1.6622,,0.000931,569.50,adamw
450,1.6440,,0.000927,581.20,adamw
460,1.6055,,0.000923,577.99,adamw
470,1.6562,,0.000918,579.85,adamw
480,1.6224,,0.000914,574.10,adamw
490,1.5966,,0.000910,570.65,adamw
500,1.5234,1.7249,0.000905,,adamw
500,1.5994,,0.000905,80414.94,adamw
510,1.6035,,0.000900,577.97,adamw
520,1.5863,,0.000896,579.21,adamw
530,1.5561,,0.000891,566.80,adamw
540,1.6178,,0.000886,568.49,adamw
550,1.5646,,0.000881,570.57,adamw
560,1.5606,,0.000876,566.01,adamw
570,1.5643,,0.000871,569.54,adamw
580,1.5332,,0.000866,571.74,adamw
590,1.4991,,0.000860,573.60,adamw
600,1.5202,,0.000855,572.93,adamw
610,1.5434,,0.000849,577.53,adamw
620,1.5232,,0.000844,578.96,adamw
630,1.5115,,0.000838,574.18,adamw
640,1.4634,,0.000832,570.11,adamw
650,1.4936,,0.000826,573.76,adamw
660,1.5062,,0.000820,578.76,adamw
670,1.4435,,0.000815,584.92,adamw
680,1.5050,,0.000808,583.50,adamw
690,1.4594,,0.000802,584.28,adamw
700,1.4754,,0.000796,572.69,adamw
710,1.4581,,0.000790,581.42,adamw
720,1.4362,,0.000784,584.35,adamw
730,1.4192,,0.000777,586.84,adamw
740,1.4234,,0.000771,570.60,adamw
750,1.3610,1.5922,0.000764,,adamw
750,1.4250,,0.000764,81102.97,adamw
760,1.4419,,0.000758,585.97,adamw
770,1.4189,,0.000751,586.67,adamw
780,1.4127,,0.000744,584.48,adamw
790,1.4118,,0.000738,585.98,adamw
800,1.4251,,0.000731,585.60,adamw
810,1.3956,,0.000724,585.26,adamw
820,1.3997,,0.000717,587.97,adamw
830,1.3829,,0.000710,586.42,adamw
840,1.3970,,0.000703,583.87,adamw
850,1.3817,,0.000696,586.19,adamw
860,1.3864,,0.000689,585.08,adamw
870,1.3912,,0.000682,585.75,adamw
880,1.3661,,0.000675,586.77,adamw
890,1.3837,,0.000668,586.51,adamw
900,1.3669,,0.000660,587.23,adamw
910,1.3156,,0.000653,584.59,adamw
920,1.3543,,0.000646,587.45,adamw
930,1.3515,,0.000639,586.06,adamw
940,1.3408,,0.000631,584.42,adamw
950,1.3403,,0.000624,583.71,adamw
960,1.3537,,0.000617,572.69,adamw
970,1.3486,,0.000609,571.71,adamw
980,1.3504,,0.000602,587.93,adamw
990,1.3303,,0.000595,585.90,adamw
1000,1.2652,1.5227,0.000587,,adamw
1000,1.3281,,0.000587,81084.55,adamw
1010,1.3227,,0.000580,580.93,adamw
1020,1.2971,,0.000572,571.66,adamw
1030,1.3265,,0.000565,581.34,adamw
1040,1.3452,,0.000557,572.46,adamw
1050,1.2862,,0.000550,571.25,adamw
1060,1.3205,,0.000543,567.34,adamw
1070,1.3250,,0.000535,581.18,adamw
1080,1.3228,,0.000528,584.74,adamw
1090,1.3418,,0.000520,574.46,adamw
1100,1.3069,,0.000513,579.79,adamw
1110,1.2912,,0.000505,566.71,adamw
1120,1.2847,,0.000498,571.89,adamw
1130,1.2822,,0.000491,573.37,adamw
1140,1.2877,,0.000483,578.93,adamw
1150,1.2933,,0.000476,579.46,adamw
1160,1.3162,,0.000469,567.31,adamw
1170,1.2770,,0.000461,580.17,adamw
1180,1.3055,,0.000454,579.37,adamw
1190,1.2533,,0.000447,567.33,adamw
1200,1.2823,,0.000440,565.97,adamw
1210,1.2528,,0.000432,576.73,adamw
1220,1.2888,,0.000425,578.84,adamw
1230,1.2802,,0.000418,573.10,adamw
1240,1.2931,,0.000411,580.42,adamw
1250,1.1882,1.4857,0.000404,,adamw
1250,1.2553,,0.000404,80289.00,adamw
1260,1.2719,,0.000397,563.12,adamw
1270,1.2497,,0.000390,578.85,adamw
1280,1.2385,,0.000383,577.85,adamw
1290,1.2724,,0.000376,567.62,adamw
1300,1.2864,,0.000369,579.86,adamw
1310,1.2237,,0.000362,580.08,adamw
1320,1.2891,,0.000356,582.88,adamw
1330,1.2449,,0.000349,582.86,adamw
1340,1.2835,,0.000342,581.13,adamw
1350,1.2394,,0.000336,570.48,adamw
1360,1.2594,,0.000329,584.77,adamw
1370,1.2432,,0.000323,572.43,adamw
1380,1.2442,,0.000316,570.27,adamw
