iter,train_loss,val_loss,lr,step_time_ms,optimizer
0,4.2874,4.2823,0.000010,,infrequentmuon
0,4.2653,,0.000010,68978.10,infrequentmuon
10,3.5963,,0.000109,28.92,infrequentmuon
20,3.0257,,0.000208,28.68,infrequentmuon
30,2.8260,,0.000307,28.97,infrequentmuon
40,2.7388,,0.000406,29.25,infrequentmuon
50,2.6710,,0.000505,34.02,infrequentmuon
60,2.6290,,0.000604,28.72,infrequentmuon
70,2.6477,,0.000703,28.88,infrequentmuon
80,2.6734,,0.000802,29.00,infrequentmuon
90,2.6149,,0.000901,29.13,infrequentmuon
100,2.6175,,0.001000,29.37,infrequentmuon
110,2.5914,,0.001000,29.57,infrequentmuon
120,2.5365,,0.001000,30.08,infrequentmuon
130,2.5450,,0.000999,29.07,infrequentmuon
140,2.5364,,0.000999,29.23,infrequentmuon
150,2.5617,,0.000998,29.61,infrequentmuon
160,2.5356,,0.000998,29.83,infrequentmuon
170,2.4949,,0.000997,29.26,infrequentmuon
180,2.4775,,0.000996,29.81,infrequentmuon
190,2.4405,,0.000995,30.00,infrequentmuon
200,2.4217,,0.000994,29.64,infrequentmuon
210,2.3475,,0.000993,29.92,infrequentmuon
220,2.3443,,0.000991,29.92,infrequentmuon
230,2.2587,,0.000990,30.05,infrequentmuon
240,2.2424,,0.000988,29.50,infrequentmuon
250,2.1364,2.1989,0.000986,,infrequentmuon
250,2.2055,,0.000986,73096.36,infrequentmuon
260,2.1531,,0.000984,30.41,infrequentmuon
270,2.1353,,0.000982,30.72,infrequentmuon
280,2.1512,,0.000980,30.21,infrequentmuon
290,2.0901,,0.000978,31.17,infrequentmuon
300,2.1032,,0.000976,30.95,infrequentmuon
310,2.0719,,0.000973,30.43,infrequentmuon
320,2.0693,,0.000971,31.01,infrequentmuon
330,2.0472,,0.000968,30.35,infrequentmuon
340,2.0215,,0.000965,30.68,infrequentmuon
350,2.0674,,0.000962,30.26,infrequentmuon
360,1.9977,,0.000959,32.13,infrequentmuon
370,1.9921,,0.000956,30.25,infrequentmuon
380,1.9765,,0.000953,35.85,infrequentmuon
390,1.9847,,0.000949,31.47,infrequentmuon
400,2.0101,,0.000946,30.56,infrequentmuon
410,1.9753,,0.000942,30.58,infrequentmuon
420,1.9835,,0.000938,30.43,infrequentmuon
430,1.9428,,0.000935,34.31,infrequentmuon
440,1.8956,,0.000931,30.02,infrequentmuon
450,1.8872,,0.000927,31.38,infrequentmuon
460,1.8434,,0.000923,30.26,infrequentmuon
470,1.8979,,0.000918,31.06,infrequentmuon
480,1.8447,,0.000914,30.19,infrequentmuon
490,1.8289,,0.000910,30.42,infrequentmuon
500,1.7183,1.8743,0.000905,,infrequentmuon
500,1.8198,,0.000905,74325.82,infrequentmuon
510,1.8313,,0.000900,30.62,infrequentmuon
520,1.8189,,0.000896,29.98,infrequentmuon
530,1.7722,,0.000891,30.59,infrequentmuon
540,1.8097,,0.000886,31.21,infrequentmuon
550,1.7677,,0.000881,30.15,infrequentmuon
560,1.7696,,0.000876,31.17,infrequentmuon
570,1.7668,,0.000871,30.84,infrequentmuon
580,1.7526,,0.000866,30.92,infrequentmuon
590,1.7319,,0.000860,30.72,infrequentmuon
600,1.7345,,0.000855,30.67,infrequentmuon
610,1.7405,,0.000849,30.19,infrequentmuon
620,1.7160,,0.000844,30.92,infrequentmuon
630,1.6950,,0.000838,30.66,infrequentmuon
640,1.6543,,0.000832,30.40,infrequentmuon
650,1.6975,,0.000826,30.32,infrequentmuon
660,1.7037,,0.000820,34.89,infrequentmuon
670,1.6430,,0.000815,30.42,infrequentmuon
680,1.7053,,0.000808,33.81,infrequentmuon
690,1.6658,,0.000802,30.97,infrequentmuon
700,1.6807,,0.000796,31.30,infrequentmuon
710,1.6409,,0.000790,30.69,infrequentmuon
720,1.6130,,0.000784,30.56,infrequentmuon
730,1.5933,,0.000777,33.36,infrequentmuon
740,1.5903,,0.000771,30.43,infrequentmuon
750,1.4922,1.6974,0.000764,,infrequentmuon
750,1.5912,,0.000764,74373.07,infrequentmuon
760,1.6129,,0.000758,31.06,infrequentmuon
770,1.6013,,0.000751,31.29,infrequentmuon
780,1.5893,,0.000744,30.88,infrequentmuon
790,1.5911,,0.000738,30.63,infrequentmuon
800,1.5946,,0.000731,30.34,infrequentmuon
810,1.5659,,0.000724,30.83,infrequentmuon
820,1.5656,,0.000717,30.59,infrequentmuon
830,1.5488,,0.000710,30.79,infrequentmuon
840,1.5567,,0.000703,29.95,infrequentmuon
850,1.5495,,0.000696,31.01,infrequentmuon
860,1.5631,,0.000689,30.81,infrequentmuon
870,1.5440,,0.000682,30.82,infrequentmuon
880,1.5332,,0.000675,30.97,infrequentmuon
890,1.5438,,0.000668,31.47,infrequentmuon
900,1.5326,,0.000660,30.74,infrequentmuon
910,1.4643,,0.000653,30.67,infrequentmuon
920,1.5160,,0.000646,30.99,infrequentmuon
930,1.4928,,0.000639,30.53,infrequentmuon
940,1.4810,,0.000631,30.78,infrequentmuon
950,1.4927,,0.000624,30.35,infrequentmuon
960,1.4965,,0.000617,32.35,infrequentmuon
970,1.5043,,0.000609,30.35,infrequentmuon
980,1.5051,,0.000602,31.11,infrequentmuon
990,1.4818,,0.000595,31.46,infrequentmuon
1000,1.3786,1.6016,0.000587,,infrequentmuon
