iter,train_loss,val_loss,lr,step_time_ms,optimizer
0,4.2874,4.2823,0.000010,,muon
0,4.2653,,0.000010,80556.32,muon
10,3.5705,,0.000109,624.98,muon
20,2.8904,,0.000208,628.61,muon
30,2.6158,,0.000307,629.62,muon
40,2.5473,,0.000406,628.72,muon
50,2.5007,,0.000505,627.39,muon
60,2.4786,,0.000604,626.58,muon
70,2.4620,,0.000703,627.15,muon
80,2.4543,,0.000802,627.38,muon
90,2.3979,,0.000901,626.81,muon
100,2.3667,,0.001000,626.15,muon
110,2.3082,,0.001000,626.00,muon
120,2.1919,,0.001000,626.37,muon
130,2.1197,,0.000999,628.08,muon
140,2.0638,,0.000999,626.92,muon
150,2.0358,,0.000998,629.53,muon
160,1.9912,,0.000998,625.90,muon
170,1.9565,,0.000997,626.28,muon
180,1.9324,,0.000996,626.88,muon
190,1.8641,,0.000995,625.77,muon
200,1.8402,,0.000994,627.57,muon
210,1.7890,,0.000993,626.77,muon
220,1.7823,,0.000991,626.86,muon
230,1.7324,,0.000990,627.79,muon
240,1.7499,,0.000988,627.78,muon
250,1.6001,1.7701,0.000986,,muon
250,1.7132,,0.000986,79997.46,muon
260,1.6712,,0.000984,627.21,muon
270,1.6644,,0.000982,625.87,muon
280,1.6727,,0.000980,627.70,muon
290,1.6341,,0.000978,627.33,muon
300,1.6194,,0.000976,626.68,muon
310,1.5833,,0.000973,626.68,muon
320,1.6005,,0.000971,628.40,muon
330,1.5599,,0.000968,628.49,muon
340,1.5484,,0.000965,626.66,muon
350,1.5819,,0.000962,627.52,muon
360,1.5434,,0.000959,627.40,muon
370,1.5106,,0.000956,626.47,muon
380,1.5294,,0.000953,626.09,muon
390,1.5323,,0.000949,625.51,muon
400,1.5755,,0.000946,626.48,muon
410,1.5014,,0.000942,627.13,muon
420,1.5345,,0.000938,627.13,muon
430,1.4933,,0.000935,626.52,muon
440,1.4905,,0.000931,627.02,muon
450,1.4804,,0.000927,627.69,muon
460,1.4442,,0.000923,625.82,muon
470,1.4992,,0.000918,627.09,muon
480,1.4747,,0.000914,627.24,muon
490,1.4559,,0.000910,626.47,muon
500,1.3496,1.5817,0.000905,,muon
500,1.4529,,0.000905,80324.10,muon
510,1.4743,,0.000900,627.61,muon
520,1.4598,,0.000896,628.54,muon
530,1.4261,,0.000891,627.89,muon
