iter,train_loss,val_loss,lr,step_time_ms,optimizer
0,4.2874,4.2823,0.000010,,sgd
0,4.2653,,0.000010,80353.00,sgd
10,4.2410,,0.000109,566.88,sgd
20,4.1283,,0.000208,572.82,sgd
30,3.9353,,0.000307,573.66,sgd
40,3.7387,,0.000406,568.50,sgd
50,3.5851,,0.000505,584.61,sgd
60,3.4689,,0.000604,585.69,sgd
70,3.3918,,0.000703,573.31,sgd
80,3.3186,,0.000802,584.40,sgd
90,3.2332,,0.000901,570.58,sgd
100,3.1796,,0.001000,583.27,sgd
110,3.1088,,0.001000,571.05,sgd
120,3.0107,,0.001000,580.68,sgd
130,2.9455,,0.000999,573.75,sgd
140,2.8959,,0.000999,583.96,sgd
150,2.8695,,0.000998,569.71,sgd
160,2.8266,,0.000998,569.78,sgd
170,2.7744,,0.000997,585.17,sgd
180,2.7730,,0.000996,585.50,sgd
190,2.7436,,0.000995,569.71,sgd
200,2.7394,,0.000994,583.27,sgd
210,2.7015,,0.000993,582.97,sgd
220,2.7263,,0.000991,584.19,sgd
230,2.7255,,0.000990,585.27,sgd
240,2.7055,,0.000988,586.31,sgd
250,2.6539,2.6584,0.000986,,sgd
250,2.6962,,0.000986,80470.52,sgd
260,2.7018,,0.000984,566.80,sgd
270,2.6942,,0.000982,577.10,sgd
280,2.7242,,0.000980,574.85,sgd
290,2.6969,,0.000978,566.89,sgd
300,2.6859,,0.000976,565.83,sgd
310,2.6993,,0.000973,575.79,sgd
320,2.6963,,0.000971,566.92,sgd
330,2.6790,,0.000968,573.98,sgd
340,2.6743,,0.000965,566.89,sgd
350,2.6827,,0.000962,565.35,sgd
360,2.6859,,0.000959,572.14,sgd
370,2.6948,,0.000956,571.30,sgd
380,2.6696,,0.000953,577.36,sgd
390,2.6815,,0.000949,572.10,sgd
400,2.6721,,0.000946,574.55,sgd
410,2.6800,,0.000942,581.74,sgd
420,2.6874,,0.000938,582.74,sgd
430,2.7013,,0.000935,581.93,sgd
440,2.6805,,0.000931,585.66,sgd
450,2.6820,,0.000927,584.12,sgd
460,2.6795,,0.000923,574.70,sgd
470,2.6750,,0.000918,582.91,sgd
480,2.6755,,0.000914,583.18,sgd
490,2.6817,,0.000910,581.94,sgd
500,2.6498,2.6550,0.000905,,sgd
500,2.7035,,0.000905,80705.37,sgd
510,2.6948,,0.000900,570.33,sgd
520,2.6922,,0.000896,585.27,sgd
530,2.7069,,0.000891,580.76,sgd
540,2.7070,,0.000886,571.90,sgd
550,2.6714,,0.000881,584.10,sgd
560,2.6811,,0.000876,584.61,sgd
570,2.6973,,0.000871,571.61,sgd
580,2.7081,,0.000866,585.65,sgd
590,2.7050,,0.000860,583.61,sgd
600,2.7000,,0.000855,583.92,sgd
610,2.6991,,0.000849,585.97,sgd
620,2.6965,,0.000844,586.76,sgd
630,2.7097,,0.000838,585.90,sgd
640,2.7105,,0.000832,585.02,sgd
650,2.7103,,0.000826,571.92,sgd
660,2.7079,,0.000820,584.95,sgd
670,2.7177,,0.000815,586.83,sgd
680,2.7079,,0.000808,584.19,sgd
690,2.7158,,0.000802,584.70,sgd
700,2.7413,,0.000796,571.76,sgd
710,2.7267,,0.000790,585.69,sgd
720,2.7241,,0.000784,585.56,sgd
730,2.7298,,0.000777,583.92,sgd
740,2.7340,,0.000771,584.87,sgd
750,2.7015,2.7085,0.000764,,sgd
750,2.7426,,0.000764,80483.88,sgd
760,2.7171,,0.000758,579.14,sgd
770,2.7571,,0.000751,580.84,sgd
780,2.7482,,0.000744,580.79,sgd
790,2.7707,,0.000738,572.29,sgd
800,2.7460,,0.000731,579.89,sgd
810,2.7534,,0.000724,568.49,sgd
820,2.7574,,0.000717,573.82,sgd
830,2.7403,,0.000710,574.15,sgd
840,2.7667,,0.000703,579.50,sgd
850,2.7629,,0.000696,578.14,sgd
860,2.7650,,0.000689,579.92,sgd
870,2.7743,,0.000682,576.81,sgd
880,2.7785,,0.000675,579.33,sgd
890,2.7618,,0.000668,576.41,sgd
900,2.7756,,0.000660,572.69,sgd
910,2.7710,,0.000653,566.73,sgd
920,2.7725,,0.000646,574.80,sgd
930,2.7681,,0.000639,566.87,sgd
940,2.7814,,0.000631,572.70,sgd
950,2.7910,,0.000624,567.49,sgd
960,2.7845,,0.000617,577.23,sgd
970,2.8031,,0.000609,566.48,sgd
980,2.7829,,0.000602,567.03,sgd
990,2.7837,,0.000595,577.81,sgd
1000,2.7556,2.7659,0.000587,,sgd
1000,2.7821,,0.000587,79885.41,sgd
1010,2.7949,,0.000580,570.02,sgd
1020,2.7919,,0.000572,581.14,sgd
1030,2.7935,,0.000565,570.28,sgd
1040,2.8053,,0.000557,572.84,sgd
1050,2.7901,,0.000550,571.82,sgd
1060,2.8179,,0.000543,568.84,sgd
1070,2.8204,,0.000535,582.01,sgd
1080,2.8148,,0.000528,583.11,sgd
1090,2.8170,,0.000520,578.92,sgd
1100,2.8039,,0.000513,572.16,sgd
1110,2.8316,,0.000505,583.05,sgd
1120,2.8357,,0.000498,584.18,sgd
1130,2.8467,,0.000491,579.57,sgd
1140,2.8121,,0.000483,572.01,sgd
1150,2.8259,,0.000476,585.14,sgd
1160,2.8327,,0.000469,584.34,sgd
1170,2.8285,,0.000461,586.18,sgd
1180,2.8160,,0.000454,583.24,sgd
1190,2.8433,,0.000447,586.50,sgd
1200,2.8314,,0.000440,586.70,sgd
1210,2.8384,,0.000432,580.86,sgd
1220,2.8383,,0.000425,571.77,sgd
1230,2.8392,,0.000418,581.85,sgd
1240,2.8317,,0.000411,573.79,sgd
1250,2.8012,2.8133,0.000404,,sgd
1250,2.8385,,0.000404,80523.76,sgd
1260,2.8552,,0.000397,581.88,sgd
1270,2.8446,,0.000390,570.07,sgd
1280,2.8523,,0.000383,572.06,sgd
1290,2.8404,,0.000376,572.80,sgd
1300,2.8527,,0.000369,581.18,sgd
1310,2.8431,,0.000362,573.07,sgd
1320,2.8513,,0.000356,569.67,sgd
1330,2.8683,,0.000349,573.16,sgd
1340,2.8473,,0.000342,573.31,sgd
1350,2.8587,,0.000336,569.91,sgd
1360,2.8670,,0.000329,580.20,sgd
1370,2.8536,,0.000323,572.72,sgd
1380,2.8658,,0.000316,569.98,sgd
1390,2.8501,,0.000310,573.13,sgd
1400,2.8671,,0.000304,580.59,sgd
1410,2.8528,,0.000298,566.25,sgd
1420,2.8539,,0.000292,580.79,sgd
1430,2.8650,,0.000285,572.27,sgd
1440,2.8541,,0.000280,579.79,sgd
1450,2.8785,,0.000274,567.05,sgd
1460,2.8570,,0.000268,570.37,sgd
1470,2.8677,,0.000262,575.59,sgd
1480,2.8645,,0.000256,579.45,sgd
1490,2.8747,,0.000251,571.59,sgd
1500,2.8307,2.8445,0.000245,,sgd
1500,2.8676,,0.000245,79940.07,sgd
1510,2.8779,,0.000240,566.43,sgd
1520,2.8812,,0.000234,574.14,sgd
1530,2.8849,,0.000229,566.93,sgd
1540,2.8957,,0.000224,568.18,sgd
1550,2.8739,,0.000219,578.21,sgd
1560,2.8833,,0.000214,572.46,sgd
1570,2.8818,,0.000209,572.36,sgd
1580,2.8938,,0.000204,580.43,sgd
1590,2.8901,,0.000200,580.39,sgd
1600,2.8895,,0.000195,569.67,sgd
1610,2.8682,,0.000190,578.43,sgd
1620,2.8940,,0.000186,578.81,sgd
1630,2.8965,,0.000182,579.00,sgd
1640,2.8660,,0.000177,567.38,sgd
1650,2.8840,,0.000173,570.57,sgd
1660,2.8695,,0.000169,580.20,sgd
1670,2.9049,,0.000165,571.77,sgd
1680,2.8867,,0.000162,570.02,sgd
1690,2.8793,,0.000158,579.56,sgd
1700,2.8988,,0.000154,571.85,sgd
1710,2.8927,,0.000151,579.98,sgd
1720,2.8877,,0.000147,572.42,sgd
1730,2.8832,,0.000144,572.60,sgd
1740,2.8968,,0.000141,579.13,sgd
1750,2.8487,2.8636,0.000138,,sgd
1750,2.8938,,0.000138,79998.90,sgd
1760,2.9101,,0.000135,580.69,sgd
1770,2.8898,,0.000132,569.06,sgd
1780,2.8947,,0.000129,580.22,sgd
1790,2.8943,,0.000127,572.12,sgd
1800,2.8916,,0.000124,579.79,sgd
1810,2.8893,,0.000122,579.82,sgd
1820,2.9049,,0.000120,579.59,sgd
1830,2.8963,,0.000118,580.51,sgd
1840,2.9060,,0.000116,579.87,sgd
1850,2.9012,,0.000114,577.25,sgd
1860,2.8952,,0.000112,572.12,sgd
1870,2.9021,,0.000110,568.04,sgd
1880,2.8791,,0.000109,570.80,sgd
1890,2.9112,,0.000107,579.75,sgd
1900,2.9074,,0.000106,572.67,sgd
1910,2.9004,,0.000105,570.66,sgd
1920,2.9056,,0.000104,569.39,sgd
1930,2.9041,,0.000103,578.63,sgd
1940,2.9134,,0.000102,565.54,sgd
1950,2.9022,,0.000102,577.20,sgd
1960,2.9137,,0.000101,578.62,sgd
1970,2.8982,,0.000101,576.61,sgd
1980,2.9106,,0.000100,570.04,sgd
1990,2.9129,,0.000100,580.05,sgd
2000,2.8587,2.8733,0.000100,,sgd
2000,2.9190,,0.000100,80196.33,sgd
